symbol,task,horizon,bundle,model,fold,n,accuracy,balanced_accuracy,auc,brier,majority_accuracy,baseline_brier,persistence_accuracy,persistence_balanced_accuracy,positive_rate
EURUSD,high_volatility,4,price,logistic,0,4550,0.7307692307692307,0.5219119226638024,0.7438190578487035,0.1693112858949612,0.7307692307692307,0.1968152043012297,0.650989010989011,0.5570354457572503,0.2692307692307692
EURUSD,high_volatility,4,price,hist_boost,0,4550,0.7470329670329671,0.5833082706766918,0.7648966088691116,0.163758086579931,0.7307692307692307,0.1968152043012297,0.650989010989011,0.5570354457572503,0.2692307692307692
EURUSD,high_volatility,4,price,extra_trees,0,4550,0.7461538461538462,0.6059076262083781,0.7661404940923737,0.1632326830405613,0.7307692307692307,0.1968152043012297,0.650989010989011,0.5570354457572503,0.2692307692307692
EURUSD,high_volatility,4,price,catboost,0,4550,0.7463736263736264,0.5797636949516649,0.7644336964861133,0.1640770614803676,0.7307692307692307,0.1968152043012297,0.650989010989011,0.5570354457572503,0.2692307692307692
EURUSD,high_volatility,4,price,xgboost,0,4550,0.7492307692307693,0.5855853920515575,0.7624505754181372,0.16431517562597123,0.7307692307692307,0.1968152043012297,0.650989010989011,0.5570354457572503,0.2692307692307692
EURUSD,high_volatility,4,context,logistic,0,4550,0.7375824175824176,0.5871535982814178,0.7719478287555622,0.1632671064414691,0.7307692307692307,0.1968152043012297,0.650989010989011,0.5570354457572503,0.2692307692307692
EURUSD,high_volatility,4,context,hist_boost,0,4550,0.7613186813186813,0.6193770139634801,0.7878172165106643,0.15762670986926094,0.7307692307692307,0.1968152043012297,0.650989010989011,0.5570354457572503,0.2692307692307692
EURUSD,high_volatility,4,context,extra_trees,0,4550,0.7534065934065934,0.6090655209452203,0.7815598588307503,0.15908726328401315,0.7307692307692307,0.1968152043012297,0.650989010989011,0.5570354457572503,0.2692307692307692
EURUSD,high_volatility,4,context,catboost,0,4550,0.7617582417582418,0.6111707841031149,0.7863871106337272,0.15819539886658937,0.7307692307692307,0.1968152043012297,0.650989010989011,0.5570354457572503,0.2692307692307692
EURUSD,high_volatility,4,context,xgboost,0,4550,0.7586813186813187,0.6111278195488722,0.7862382077643086,0.1582152854346647,0.7307692307692307,0.1968152043012297,0.650989010989011,0.5570354457572503,0.2692307692307692
EURUSD,high_volatility,4,fomc,logistic,0,4550,0.7395604395604396,0.5983029001074114,0.7719797452815713,0.16312808685201544,0.7307692307692307,0.1968152043012297,0.650989010989011,0.5570354457572503,0.2692307692307692
EURUSD,high_volatility,4,fomc,hist_boost,0,4550,0.7613186813186813,0.6180880773361976,0.7881470615313795,0.1576044545370431,0.7307692307692307,0.1968152043012297,0.650989010989011,0.5570354457572503,0.2692307692307692
EURUSD,high_volatility,4,fomc,extra_trees,0,4550,0.7538461538461538,0.6075617615467239,0.7827407702930796,0.15879721117836934,0.7307692307692307,0.1968152043012297,0.650989010989011,0.5570354457572503,0.2692307692307692
EURUSD,high_volatility,4,fomc,catboost,0,4550,0.7604395604395604,0.6082062298603652,0.786401841338039,0.15812470153626343,0.7307692307692307,0.1968152043012297,0.650989010989011,0.5570354457572503,0.2692307692307692
EURUSD,high_volatility,4,fomc,xgboost,0,4550,0.7602197802197802,0.6116648764769066,0.7864714439159122,0.15826488171366307,0.7307692307692307,0.1968152043012297,0.650989010989011,0.5570354457572503,0.2692307692307692
EURUSD,high_volatility,4,cot_exploratory,logistic,0,4550,0.7417582417582418,0.5972287862513427,0.7716362743593679,0.16323912665203363,0.7307692307692307,0.1968152043012297,0.650989010989011,0.5570354457572503,0.2692307692307692
EURUSD,high_volatility,4,cot_exploratory,hist_boost,0,4550,0.7626373626373626,0.6207948442534909,0.7885191345711217,0.15744139730896298,0.7307692307692307,0.1968152043012297,0.650989010989011,0.5570354457572503,0.2692307692307692
EURUSD,high_volatility,4,cot_exploratory,extra_trees,0,4550,0.7531868131868132,0.6065950590762621,0.7816298296762315,0.15904777498969877,0.7307692307692307,0.1968152043012297,0.650989010989011,0.5570354457572503,0.2692307692307692
EURUSD,high_volatility,4,cot_exploratory,catboost,0,4550,0.7606593406593407,0.6052631578947368,0.7843137640018414,0.1587150114981746,0.7307692307692307,0.1968152043012297,0.650989010989011,0.5570354457572503,0.2692307692307692
EURUSD,high_volatility,4,cot_exploratory,xgboost,0,4550,0.7589010989010989,0.6089581095596134,0.7861233082706767,0.1583364823285188,0.7307692307692307,0.1968152043012297,0.650989010989011,0.5570354457572503,0.2692307692307692
EURUSD,direction,4,price,logistic,1,6105,0.5305487305487305,0.529926643019281,0.5392561269446039,0.2490272571577319,0.5028665028665029,0.24999496767422666,0.4846846846846847,0.4846752598618721,0.5028665028665029
EURUSD,direction,4,price,hist_boost,1,6105,0.5235053235053235,0.523105570730189,0.5338115042205754,0.2492453097273385,0.5028665028665029,0.24999496767422666,0.4846846846846847,0.4846752598618721,0.5028665028665029
EURUSD,direction,4,price,extra_trees,1,6105,0.5161343161343162,0.515911810634884,0.5271514201847072,0.24946956938018294,0.5028665028665029,0.24999496767422666,0.4846846846846847,0.4846752598618721,0.5028665028665029
EURUSD,direction,4,price,catboost,1,6105,0.5257985257985258,0.52553407853007,0.5364619074961496,0.24919512500237984,0.5028665028665029,0.24999496767422666,0.4846846846846847,0.4846752598618721,0.5028665028665029
EURUSD,direction,4,price,xgboost,1,6105,0.5218673218673219,0.5216083799752078,0.5297257833420088,0.24967741597757684,0.5028665028665029,0.24999496767422666,0.4846846846846847,0.4846752598618721,0.5028665028665029
